region,sublobar,lobar,theoryDriven
lh_caudalanteriorcingulate,cingulate,frontal,cingulate
lh_isthmuscingulate,cingulate,parietal,
lh_posteriorcingulate,cingulate,parietal,cingulate
lh_rostralanteriorcingulate,cingulate,frontal,cingulate
rh_caudalanteriorcingulate,cingulate,cingulate,cingulate
rh_isthmuscingulate,cingulate,cingulate,
rh_posteriorcingulate,cingulate,cingulate,cingulate
rh_rostralanteriorcingulate,cingulate,cingulate,cingulate
lh_insula,insula,insula,
rh_insula,insula,insula,
lh_caudalmiddlefrontal,lateral_frontal,frontal,lateral_PFC
lh_parsopercularis,lateral_frontal,frontal,lateral_PFC
lh_parsorbitalis,lateral_frontal,frontal,lateral_PFC
lh_parstriangularis,lateral_frontal,frontal,lateral_PFC
lh_rostralmiddlefrontal,lateral_frontal,frontal,lateral_PFC
lh_superiorfrontal,lateral_frontal,frontal,lateral_PFC
lh_frontalpole,lateral_frontal,frontal,
rh_caudalmiddlefrontal,lateral_frontal,frontal,lateral_PFC
rh_parsopercularis,lateral_frontal,frontal,lateral_PFC
rh_parsorbitalis,lateral_frontal,frontal,lateral_PFC
rh_parstriangularis,lateral_frontal,frontal,lateral_PFC
rh_rostralmiddlefrontal,lateral_frontal,frontal,lateral_PFC
rh_superiorfrontal,lateral_frontal,frontal,lateral_PFC
rh_frontalpole,lateral_frontal,frontal,
lh_inferiorparietal,lateral_parietal,parietal,parietal_ROI
lh_superiorparietal,lateral_parietal,parietal,parietal_ROI
lh_supramarginal,lateral_parietal,parietal,
rh_inferiorparietal,lateral_parietal,parietal,parietal_ROI
rh_superiorparietal,lateral_parietal,parietal,parietal_ROI
rh_supramarginal,lateral_parietal,parietal,
lh_bankssts,lateral_temporal,temporal,
lh_inferiortemporal,lateral_temporal,temporal,
lh_superiortemporal,lateral_temporal,temporal,
lh_temporalpole,lateral_temporal,temporal,
lh_transversetemporal,lateral_temporal,temporal,
rh_bankssts,lateral_temporal,temporal,
rh_inferiortemporal,lateral_temporal,temporal,
rh_superiortemporal,lateral_temporal,temporal,
rh_temporalpole,lateral_temporal,temporal,
rh_transversetemporal,lateral_temporal,temporal,
lh_paracentral,medial_frontal,frontal,lateral_PFC
rh_paracentral,medial_frontal,frontal,lateral_PFC
lh_precuneus,medial_parietal,parietal,
rh_precuneus,medial_parietal,parietal,
lh_entorhinal,medial_temporal,temporal,
lh_middletemporal,medial_temporal,temporal,
lh_parahippocampal,medial_temporal,temporal,
rh_entorhinal,medial_temporal,temporal,
rh_middletemporal,medial_temporal,temporal,
rh_parahippocampal,medial_temporal,temporal,
lh_cuneus,occipital,occipital,
lh_fusiform,occipital,occipital,
lh_lateraloccipital,occipital,occipital,
lh_lingual,occipital,occipital,
lh_pericalcarine,occipital,occipital,
rh_cuneus,occipital,occipital,
rh_fusiform,occipital,occipital,
rh_lateraloccipital,occipital,occipital,
rh_lingual,occipital,occipital,
rh_pericalcarine,occipital,occipital,
lh_lateralorbitofrontal,OFC,frontal,OFC
lh_medialorbitofrontal,OFC,frontal,OFC
rh_lateralorbitofrontal,OFC,OFC,OFC
rh_medialorbitofrontal,OFC,OFC,OFC
lh_postcentral,sensorimotor,parietal,sensorimotor
lh_precentral,sensorimotor,frontal,sensorimotor
rh_postcentral,sensorimotor,sensorimotor,sensorimotor
rh_precentral,sensorimotor,sensorimotor,sensorimotor
Left.Lateral.Ventricle,ventricle,ventricle,
Left.Inf.Lat.Vent,ventricle,ventricle,
Left.Cerebellum.White.Matter,cerebellar_white,cerebellum,cerebellum
Left.Cerebellum.Cortex,cerebellar_grey,cerebellum,cerebellum
Left.Thalamus.Proper,thalamu,thalamus,thalamus
Left.Caudate,caudate,basal_ganglia,basal_ganglia
Left.Putamen,putamen,basal_ganglia,basal_ganglia
Left.Pallidum,pallidum,basal_ganglia,basal_ganglia
X3rd.Ventricle,ventricle,ventricle,
X4th.Ventricle,ventricle,ventricle,
Brain.Stem,,,
Left.Hippocampus,hippocampus,hipp_amygdala,
Left.Amygdala,amygdala,hipp_amygdala,
CSF,,,
Left.Accumbens.area,accumbens,basal_ganglia,basal_ganglia
Left.VentralDC,,,
Left.vessel,,,
Left.choroid.plexus,,,
Right.Lateral.Ventricle,ventricle,ventricle,
Right.Inf.Lat.Vent,ventricle,ventricle,
Right.Cerebellum.White.Matter,cerebellar_white,cerebellum,cerebellum
Right.Cerebellum.Cortex,cerebellar_grey,cerebellum,cerebellum
Right.Thalamus.Proper,thalamu,thalamus,thalamus
Right.Caudate,caudate,basal_ganglia,basal_ganglia
Right.Putamen,putamen,basal_ganglia,basal_ganglia
Right.Pallidum,pallidum,basal_ganglia,basal_ganglia
Right.Hippocampus,ventricle,ventricle,
Right.Amygdala,ventricle,ventricle,
Right.Accumbens.area,accumbens,,
Right.VentralDC,hippocampus,hipp_amygdala,
Right.vessel,amygdala,hipp_amygdala,
Right.choroid.plexus,,,
X5th.Ventricle,accumbens,basal_ganglia,basal_ganglia
WM.hypointensities,,,
Left.WM.hypointensities,,,
Right.WM.hypointensities,,,
non.WM.hypointensities,,,
Left.non.WM.hypointensities,,,
Right.non.WM.hypointensities,,,
Optic.Chiasm,,,
CC_Posterior,CC,CC,CC
CC_Mid_Posterior,CC,CC,CC
CC_Central,CC,CC,CC
CC_Mid_Anterior,CC,CC,CC
CC_Anterior,CC,CC,CC
BrainSegVol,,,
BrainSegVolNotVent,,,
BrainSegVolNotVentSurf,,,
lhCortexVol,lhCortexVol,,
rhCortexVol,rhCortexVol,,
CortexVol,,CortexVol,CortexVol
lhCorticalWhiteMatterVol,lhCorticalWhiteMatterVol,,
rhCorticalWhiteMatterVol,rhCorticalWhiteMatterVol,,
CorticalWhiteMatterVol,,CorticalWhiteMatterVol,CorticalWhiteMatterVol
SubCortGrayVol,SubCortGrayVol,SubCortGrayVol,SubCortGrayVol
TotalGrayVol,TotalGrayVol,TotalGrayVol,TotalGrayVol
SupraTentorialVol,,,
SupraTentorialVolNotVent,,,
SupraTentorialVolNotVentVox,,,
MaskVol,,,
BrainSegVol.to.eTIV,,,
MaskVol.to.eTIV,,,
lhSurfaceHoles,,,
rhSurfaceHoles,,,
SurfaceHoles,,,
EstimatedTotalIntraCranialVol,ICV,ICV,ICV
